               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               1.283,              2.4764,              1.5188,             0.63172,             0.36285,             0.34038,             0.21375,              1.3258,              2.1517,              1.8867,            0.070043,           0.0033286,           0.0033286
                   1,              1.2638,               1.738,               1.479,             0.41028,             0.31971,             0.28916,             0.17285,              1.3852,              2.4885,              1.9364,            0.039779,           0.0063981,           0.0063981
                   2,              1.3714,              1.9217,              1.5892,             0.41298,             0.16311,             0.16476,            0.082349,              1.7724,              3.1831,              2.5289,            0.009251,           0.0092036,           0.0092036
                   3,              1.4378,              2.0481,              1.6439,             0.38143,             0.20787,             0.18479,            0.094902,              1.6503,              3.4904,              2.2179,            0.008812,            0.008812,            0.008812
                   4,              1.3945,              1.9207,              1.6247,             0.37961,             0.27976,             0.25129,             0.13083,              1.6098,              2.7576,              2.1692,            0.008812,            0.008812,            0.008812
                   5,              1.3524,              1.8126,              1.5946,             0.42162,             0.22362,             0.24713,             0.13258,              1.6487,              2.9125,              2.2828,            0.008416,            0.008416,            0.008416
                   6,              1.3176,               1.708,               1.563,             0.45131,             0.35063,             0.33728,             0.19042,              1.5093,              2.4788,              2.0983,             0.00802,             0.00802,             0.00802
                   7,              1.2915,              1.6256,              1.5389,              0.4709,             0.34817,             0.35421,             0.21011,              1.4734,              2.3713,              2.0574,            0.007624,            0.007624,            0.007624
                   8,              1.2584,              1.5459,              1.5225,             0.50285,             0.39048,             0.40948,             0.24001,              1.4078,               2.207,              1.9744,            0.007228,            0.007228,            0.007228
                   9,              1.2354,              1.4906,              1.5025,             0.50974,             0.39812,             0.41093,             0.24355,              1.3863,              2.2513,              1.9429,            0.006832,            0.006832,            0.006832
                  10,               1.182,              1.3302,              1.5821,             0.51666,             0.33208,             0.33911,             0.20396,              1.4397,              2.4434,              2.0295,            0.006436,            0.006436,            0.006436
                  11,              1.1582,              1.2592,              1.5578,             0.52511,              0.3994,             0.41136,             0.25399,              1.4112,              2.1819,              1.9552,             0.00604,             0.00604,             0.00604
                  12,              1.1296,               1.201,              1.5391,             0.49113,             0.40489,             0.41188,             0.25132,              1.3852,              2.1311,              1.9376,            0.005644,            0.005644,            0.005644
                  13,              1.1131,              1.1367,              1.5103,             0.49749,             0.45113,             0.45654,             0.27928,              1.3794,              2.0569,              1.9118,            0.005248,            0.005248,            0.005248
                  14,              1.0913,              1.0904,              1.5036,             0.57824,             0.40495,             0.48352,             0.29897,              1.3079,              2.0402,              1.8261,            0.004852,            0.004852,            0.004852
                  15,              1.0687,              1.0272,              1.4757,             0.59153,             0.42614,             0.46517,             0.28696,              1.3093,              2.0205,              1.8244,            0.004456,            0.004456,            0.004456
                  16,              1.0454,             0.97353,              1.4577,             0.59584,             0.46219,             0.49736,             0.31036,              1.2832,              1.9651,              1.8029,             0.00406,             0.00406,             0.00406
                  17,              1.0367,             0.94146,              1.4492,              0.5738,             0.47431,             0.50818,             0.32727,              1.2778,              1.9552,              1.8066,            0.003664,            0.003664,            0.003664
                  18,              1.0142,             0.90153,              1.4361,             0.58368,             0.47163,             0.51148,             0.32522,              1.2959,              1.9597,              1.8211,            0.003268,            0.003268,            0.003268
                  19,             0.99945,             0.86241,              1.4131,             0.52643,             0.51668,             0.52401,             0.34264,              1.2658,              1.9009,              1.7833,            0.002872,            0.002872,            0.002872
                  20,             0.97506,             0.81271,              1.3916,             0.52538,             0.54566,             0.54022,             0.34492,              1.2634,              1.8887,              1.7691,            0.002476,            0.002476,            0.002476
                  21,             0.95655,             0.77017,              1.3748,             0.61528,             0.50027,             0.53216,              0.3502,              1.2478,              1.8947,              1.7721,             0.00208,             0.00208,             0.00208
                  22,             0.93414,             0.73171,              1.3621,             0.62116,             0.46708,             0.52834,              0.3477,              1.2333,              1.9005,              1.7394,            0.001684,            0.001684,            0.001684
                  23,             0.92761,             0.70507,              1.3446,              0.5815,             0.55237,             0.55355,             0.35602,              1.2421,              1.8842,              1.7453,            0.001288,            0.001288,            0.001288
                  24,             0.90408,             0.67423,               1.329,             0.60681,             0.51818,             0.54843,             0.36468,              1.2347,              1.8971,              1.7369,            0.000892,            0.000892,            0.000892
